Ticket No,Priority,State,Category,Sub Category,Skill Team,Hosting,Create Date,Picked Date,Completed Date,Assignee,Customer Rating,Outcome,Escalated,Reached via
T347,Medium,New Hampshire,Cyber Consultation,New Application Launch,Manufacturing,Vendor Cloud,7/16/2021 20:04,7/18/2021 16:50,7/22/2021 11:38,Charles,Excellent (5),Resolved,,Ticket Portal
T348,Low,California,Data Leak,Phishing,IT,On Prem Server,7/18/2021 17:55,7/19/2021 8:39,8/17/2021 22:07,Michael,Excellent (5),Advised for a risk assessment,,Ticket Portal
T349,High,Florida,Security Gap,Obsolete Software,Legal,Vendor Cloud,7/19/2021 10:56,7/19/2021 10:58,7/21/2021 14:54,Sebastian,Unsatisfactory (2),Resolved,,Ticket Portal
T35,Medium,Utah,Data Privacy,HIPAA,HR,Vendor Cloud,1/25/2021 18:56,1/25/2021 19:49,1/25/2021 19:49,Sebastian,Excellent (5),Advised for a risk assessment,,Ticket Portal
T350,Medium,Pennsylvania,Data Leak,Phishing,Marketing,On Prem Server,7/20/2021 18:21,7/20/2021 18:23,7/21/2021 12:38,Michael,Excellent (5),Advised for a risk assessment,,Ticket Portal
T351,Medium,California,Data Privacy,Privacy Assessment,Finance,Vendor Cloud,7/20/2021 20:00,7/20/2021 20:02,7/21/2021 12:43,Michael,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T352,Low,New Jersey,Data Privacy,GDPR,HR,Vendor Cloud,7/20/2021 20:03,7/20/2021 20:18,7/20/2021 20:20,Michael,Good (4),Resolved,,Mail
T353,Low,Washington,Data Privacy,PCI-DSS,IT,Vendor Cloud,7/21/2021 16:32,7/21/2021 16:37,7/22/2021 11:40,Charles,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T354,Low,Illinois,Data Privacy,HIPAA,Finance,On Prem Server,7/21/2021 22:01,7/21/2021 22:34,7/22/2021 16:19,Michael,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T355,Low,Oregon,Data Privacy,GDPR,Legal,Vendor Cloud,7/23/2021 17:40,7/23/2021 17:49,7/28/2021 18:43,Martina,Excellent (5),Resolved,,Ticket Portal
T356,Low,Utah,Data Privacy,Privacy Assessment,IT,On Prem Server,7/23/2021 20:39,7/26/2021 12:27,8/4/2021 9:29,Charles,Excellent (5),Resolved,,Ticket Portal
T357,High,California,Data Privacy,Privacy Assessment,HR,Vendor Cloud,7/26/2021 20:18,7/26/2021 20:20,7/26/2021 20:21,Michael,Good (4),Advised for a risk assessment,,Ticket Portal
T358,Low,Iowa,Data Privacy,PCI-DSS,Finance,Vendor Cloud,7/26/2021 20:23,7/26/2021 20:24,8/3/2021 17:40,Robbin,Good (4),Resolved,,Personal Call
T359,High,Connecticut,Cyber Security Breach,Spyware,HR,On Prem Server,7/27/2021 11:07,7/27/2021 11:10,7/29/2021 21:29,Kareema,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T36,High,California,Data Privacy,GDPR,IT,On Prem Cloud,1/25/2021 23:29,1/25/2021 23:37,6/3/2021 18:54,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal
T360,High,Rhode Island,Cyber Security Breach,Malware Attack,Finance,On Prem Server,7/27/2021 11:38,7/27/2021 11:38,7/27/2021 11:57,Allan,Excellent (5),Advised for a risk assessment,,Ticket Portal
T361,High,Arizona,Data Privacy,GDPR,Finance,On Prem Server,7/27/2021 12:06,7/27/2021 12:07,7/27/2021 12:12,Allan,Excellent (5),Resolved,,Mail
T362,Low,Florida,Data Leak,Insider Threat,Legal,Vendor Cloud,7/27/2021 12:23,7/27/2021 12:37,7/27/2021 12:41,Allan,Unsatisfactory (2),Advised for a risk assessment,Yes,Ticket Portal
T363,High,California,Cyber Security Breach,Spyware,Marketing,Vendor Cloud,7/27/2021 13:54,7/27/2021 13:57,11/3/2021 19:17,Benny,Good (4),Advised for a risk assessment,,Ticket Portal
T364,High,North Carolina,Cyber Security Breach,Firewall,IT,On Prem Server,7/27/2021 17:17,7/27/2021 17:25,8/19/2021 0:10,Martina,Good (4),Resolved,,Ticket Portal
T365,Medium,California,Data Privacy,Privacy Assessment,HR,On Prem Cloud,7/27/2021 19:16,7/27/2021 19:25,7/27/2021 19:25,Robbin,Excellent (5),Resolved,,Ticket Portal
T366,Low,California,Data Privacy,HIPAA,Finance,Vendor Cloud,7/27/2021 21:03,7/27/2021 21:34,7/28/2021 18:10,Martina,Good (4),Resolved,,Ticket Portal
T367,High,Florida,Cyber Security Breach,Malware Attack,Marketing,On Prem Server,7/27/2021 21:38,7/28/2021 10:39,8/9/2021 18:29,Cinderalla,Unsatisfactory (2),Recommended Threat Assessment,Yes,Mail
T368,Low,Texas,Data Privacy,PCI-DSS,HR,On Prem Server,7/28/2021 16:51,7/28/2021 21:51,8/6/2021 14:53,Aleena,Good (4),Advised for a risk assessment,,Ticket Portal
T369,Low,California,Data Privacy,GDPR,HR,On Prem Server,7/28/2021 23:43,7/28/2021 23:43,7/28/2021 23:43,Michael,Satisfactory (3),Resolved,,Ticket Portal
T37,High,Michigan,Data Privacy,PCI-DSS,IT,On Prem Cloud,1/27/2021 15:20,1/27/2021 15:21,1/27/2021 15:40,Martina,Unsatisfactory (2),Resolved,No,Ticket Portal
T370,Low,New York,Data Privacy,GDPR,Finance,Vendor Cloud,7/29/2021 12:47,7/29/2021 13:09,8/4/2021 13:48,Michael,Excellent (5),Resolved,,Personal Call
T371,Low,South Carolina,Security Gap,Unauthorized access,HR,On Prem Cloud,7/29/2021 18:47,7/29/2021 18:50,8/13/2021 12:58,Robbin,Satisfactory (3),Resolved,,Ticket Portal
T372,High,Pennsylvania,Cyber Security Breach,Spyware,HR,On Prem Server,7/29/2021 18:53,7/29/2021 18:55,8/16/2021 18:24,Sebastian,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T373,High,Ohio,Cyber Security Breach,Trojan Attack,IT,On Prem Cloud,7/30/2021 16:44,7/30/2021 16:45,8/3/2021 17:39,Robbin,Good (4),Advised for a risk assessment,,Ticket Portal
T374,High,New York,Data Privacy,PCI-DSS,Finance,On Prem Server,7/30/2021 20:31,8/2/2021 11:14,8/5/2021 17:28,Charles,Excellent (5),Advised for a risk assessment,,Ticket Portal
T375,High,New Jersey,Data Privacy,GDPR,Legal,Vendor Cloud,8/2/2021 10:42,8/2/2021 10:45,8/4/2021 10:29,Charles,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T376,High,California,Cyber Security Breach,Firewall,Marketing,Vendor Cloud,8/2/2021 19:12,8/2/2021 19:19,8/16/2021 18:28,Martina,Good (4),Advised for a risk assessment,,Ticket Portal
T377,Medium,Massachusetts,Data Leak,Insider Threat,HR,On Prem Cloud,8/4/2021 4:04,8/4/2021 12:10,9/9/2021 19:53,Charlotte,Excellent (5),Resolved,,Personal Call
T378,Low,Florida,Cyber Consultation,Application Offboarding,Legal,On Prem Server,8/4/2021 11:42,8/4/2021 11:46,9/7/2021 15:11,Michael,Satisfactory (3),Resolved,,Ticket Portal
T379,High,California,Cyber Consultation,Database Security,IT,On Prem Cloud,8/4/2021 13:05,8/4/2021 13:37,8/13/2021 18:47,Sean,Excellent (5),Advised for a risk assessment,,Personal Call
T38,Low,Georgia,Data Leak,Insider Threat,Legal,Vendor Cloud,1/27/2021 16:21,1/27/2021 16:24,6/3/2021 19:36,Allan,Excellent (5),Resolved,,Mail
T380,Medium,California,Data Leak,Insider Threat,Manufacturing,On Prem Server,8/4/2021 14:41,8/4/2021 14:46,8/26/2021 21:48,Michael,Excellent (5),Resolved,,Ticket Portal
T381,Medium,New York,Data Privacy,PCI-DSS,Legal,On Prem Server,8/4/2021 14:44,8/4/2021 14:44,8/5/2021 18:25,Sean,Satisfactory (3),Recommended Threat Assessment,,Mail
T382,Medium,Alabama,Data Privacy,PCI-DSS,IT,On Prem Server,8/4/2021 14:50,8/4/2021 14:50,8/19/2021 22:47,Sean,Good (4),Advised for a risk assessment,,Ticket Portal
T383,Medium,New York,Data Leak,Insider Threat,IT,On Prem Server,8/4/2021 15:00,8/4/2021 15:01,8/23/2021 19:30,Veronica,Satisfactory (3),Resolved,,Ticket Portal
T384,High,Florida,Data Leak,Phishing,Marketing,On Prem Server,8/4/2021 19:13,8/4/2021 19:16,8/5/2021 17:16,Charles,Excellent (5),Advised for a risk assessment,,Mail
T385,High,Colorado,Cyber Security Breach,Malware Attack,IT,On Prem Server,8/4/2021 19:34,8/4/2021 20:05,8/17/2021 18:44,Martina,Good (4),Resolved,,Ticket Portal
T386,Low,Idaho,Data Privacy,PCI-DSS,HR,On Prem Cloud,8/4/2021 22:54,8/5/2021 12:30,8/22/2021 19:09,Bob,Excellent (5),Resolved,,Mail
T387,Low,New Jersey,Data Privacy,HIPAA,Finance,On Prem Server,8/5/2021 18:19,8/5/2021 18:25,8/10/2021 13:07,Cinderalla,Satisfactory (3),Recommended Threat Assessment,,Personal Call
T388,High,Michigan,Data Leak,Insider Threat,IT,Vendor Cloud,8/5/2021 18:58,8/5/2021 19:01,8/13/2021 12:56,Robbin,Good (4),Advised for a risk assessment,,Ticket Portal
T389,Low,District of Columbia,Data Privacy,HIPAA,HR,On Prem Cloud,8/5/2021 19:24,8/5/2021 19:25,8/5/2021 22:13,Veronica,Good (4),Resolved,,Ticket Portal
T39,Medium,California,Data Privacy,Privacy Assessment,Finance,On Prem Cloud,1/27/2021 17:44,1/27/2021 18:14,6/3/2021 19:26,Martina,Unsatisfactory (2),Recommended Threat Assessment,Yes,Mail
T390,High,Maryland,Cyber Security Breach,Malware Attack,HR,On Prem Server,8/6/2021 10:04,8/6/2021 10:05,8/10/2021 17:45,Charles,Excellent (5),Resolved,,Ticket Portal
T391,High,Illinois,Cyber Consultation,BCP/DR,Finance,On Prem Server,8/6/2021 11:34,8/6/2021 11:38,8/9/2021 18:46,Cinderalla,Good (4),Resolved,,Ticket Portal
T392,High,Georgia,Cyber Consultation,Secure Development,Manufacturing,On Prem Server,8/6/2021 13:02,8/6/2021 13:05,8/13/2021 12:44,Charles,Unsatisfactory (2),Resolved,Yes,Mail
T393,Low,Texas,Cyber Consultation,Secure Development,Manufacturing,On Prem Server,8/6/2021 13:09,8/6/2021 13:10,8/6/2021 13:17,Veronica,Satisfactory (3),Resolved,,Ticket Portal
T394,Low,California,Data Privacy,GDPR,Finance,On Prem Server,8/6/2021 13:23,8/6/2021 13:25,8/6/2021 13:26,Veronica,Excellent (5),Advised for a risk assessment,,Ticket Portal
T395,High,New York,Cyber Security Breach,Firewall,Marketing,Vendor Cloud,8/6/2021 15:03,9/17/2021 13:24,9/22/2021 10:09,Sebastian,Good (4),Advised for a risk assessment,,Ticket Portal
T396,Low,Nevada,Data Leak,Vishing,Finance,On Prem Cloud,8/6/2021 21:42,8/8/2021 9:17,10/18/2021 11:47,Cinderalla,Good (4),Resolved,,Ticket Portal
T397,High,Maryland,Data Leak,Insider Threat,IT,On Prem Cloud,8/9/2021 17:33,8/9/2021 17:35,8/11/2021 8:48,Allan,Good (4),Resolved,,Ticket Portal
T398,High,Washington,Data Privacy,HIPAA,Finance,On Prem Server,8/9/2021 22:14,8/10/2021 10:18,8/23/2021 17:25,Cinderalla,Excellent (5),Resolved,,Ticket Portal
T399,High,Illinois,Cyber Consultation,BCP/DR,Finance,On Prem Server,8/10/2021 14:27,8/10/2021 14:30,8/11/2021 12:43,Cinderalla,Satisfactory (3),Recommended Threat Assessment,,Ticket Portal
T40,Low,Washington,Cyber Consultation,Secure Development,HR,Vendor Cloud,1/27/2021 21:00,1/27/2021 21:00,1/27/2021 21:20,Martina,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T400,High,Texas,Cyber Security Breach,Trojan Attack,Manufacturing,Vendor Cloud,8/10/2021 19:42,8/10/2021 19:47,8/18/2021 9:54,Cinderalla,Excellent (5),Advised for a risk assessment,,Personal Call
T401,High,West Virginia,Cyber Consultation,Encryption,IT,On Prem Cloud,8/10/2021 23:16,8/11/2021 9:43,8/13/2021 19:02,Charles,Excellent (5),Advised for a risk assessment,,Mail
T402,Low,Ohio,Data Privacy,Privacy Assessment,Finance,On Prem Server,8/11/2021 19:22,8/11/2021 19:25,8/17/2021 17:19,Charles,Satisfactory (3),Resolved,,Ticket Portal
T403,Low,Indiana,Data Privacy,Privacy Assessment,HR,On Prem Server,8/12/2021 14:22,8/12/2021 14:27,8/16/2021 22:01,Cinderalla,Excellent (5),Advised for a risk assessment,,Mail
T404,Medium,Georgia,Data Privacy,Privacy Assessment,IT,On Prem Server,8/12/2021 15:16,8/13/2021 12:34,9/16/2021 14:45,Robbin,Excellent (5),Advised for a risk assessment,,Ticket Portal
T405,High,Delaware,Cyber Security Breach,Trojan Attack,HR,On Prem Server,8/13/2021 13:35,8/13/2021 13:42,8/17/2021 20:54,Sylviya,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T406,Low,California,Data Privacy,PCI-DSS,Manufacturing,Vendor Cloud,8/13/2021 14:39,8/13/2021 14:40,8/25/2021 17:25,Sebastian,Good (4),Recommended Threat Assessment,,Personal Call
T407,Medium,Georgia,Data Privacy,HIPAA,IT,Vendor Cloud,8/13/2021 17:30,8/13/2021 22:27,8/16/2021 23:06,Martina,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T408,Low,Virginia,Data Leak,Phishing,IT,Vendor Cloud,8/14/2021 0:01,8/30/2021 12:34,9/7/2021 18:27,Robbin,Excellent (5),Advised for a risk assessment,,Ticket Portal
T409,High,Washington,Data Privacy,PCI-DSS,Finance,On Prem Server,8/14/2021 1:33,8/16/2021 9:18,8/20/2021 18:47,Veronica,Excellent (5),Recommended Threat Assessment,,Personal Call
T41,Medium,Tennessee,Cyber Consultation,BCP/DR,IT,On Prem Server,1/28/2021 20:30,1/31/2021 8:53,6/15/2021 11:00,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal
T410,Low,California,Data Privacy,Privacy Assessment,Finance,Vendor Cloud,8/16/2021 13:33,8/16/2021 13:35,8/23/2021 19:23,Veronica,Excellent (5),Resolved,,Personal Call
T411,High,Georgia,Data Privacy,GDPR,Finance,Vendor Cloud,8/16/2021 15:02,8/16/2021 15:05,8/19/2021 14:15,Aleena,Good (4),Resolved,,Ticket Portal
T412,Medium,North Carolina,Cyber Consultation,Access Management,Finance,On Prem Server,8/16/2021 15:37,8/16/2021 15:38,8/16/2021 15:39,Charles,Excellent (5),Resolved,,Mail
T413,High,Illinois,Data Privacy,GDPR,Marketing,On Prem Cloud,8/16/2021 16:22,8/16/2021 16:45,8/25/2021 17:43,Veronica,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T414,High,Kansas,Cyber Consultation,BCP/DR,Marketing,On Prem Cloud,8/16/2021 19:51,8/16/2021 20:44,8/20/2021 18:18,Martina,Excellent (5),Advised for a risk assessment,,Mail
T415,High,Texas,Cyber Security Breach,Malware Attack,Finance,Vendor Cloud,8/17/2021 14:23,8/17/2021 14:36,9/16/2021 9:41,Charles,Excellent (5),Resolved,,Personal Call
T416,Low,Georgia,Security Gap,Unauthorized access,IT,Vendor Cloud,8/17/2021 18:55,8/17/2021 19:01,8/19/2021 16:27,Charles,Unsatisfactory (2),Recommended Threat Assessment,Yes,Ticket Portal
T417,High,Florida,Cyber Consultation,BCP/DR,Manufacturing,On Prem Server,8/17/2021 18:58,8/17/2021 20:34,8/23/2021 10:08,Sylviya,Unsatisfactory (2),Advised for a risk assessment,Yes,Ticket Portal
T418,High,Maryland,Data Privacy,HIPAA,Finance,On Prem Server,8/17/2021 20:29,8/17/2021 20:30,8/17/2021 20:38,Veronica,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T419,Low,New York,Data Privacy,Privacy Assessment,Legal,Vendor Cloud,8/17/2021 20:42,8/17/2021 20:43,8/17/2021 20:47,Veronica,Excellent (5),Recommended Threat Assessment,,Personal Call
T42,Medium,Connecticut,Security Gap,Obsolete Software,Finance,On Prem Server,1/31/2021 9:37,1/31/2021 9:37,1/31/2021 9:40,Allan,Satisfactory (3),Resolved,,Ticket Portal
T420,Low,Illinois,Data Leak,Insider Threat,HR,On Prem Server,8/17/2021 22:37,8/17/2021 22:38,8/17/2021 22:40,Allan,Satisfactory (3),Resolved,,Ticket Portal
T421,Low,California,Cyber Consultation,Segregation of Duties,HR,On Prem Cloud,8/17/2021 22:42,8/17/2021 22:43,8/17/2021 22:44,Allan,Excellent (5),Resolved,,Ticket Portal
T422,Low,Florida,Data Privacy,HIPAA,IT,On Prem Server,8/17/2021 22:46,8/17/2021 22:46,8/17/2021 22:48,Allan,Excellent (5),Resolved,,Personal Call
T423,Low,California,Cyber Consultation,Secure Development,IT,On Prem Server,8/17/2021 22:50,8/17/2021 22:51,8/17/2021 23:00,Allan,Excellent (5),Advised for a risk assessment,,Ticket Portal
T424,High,California,Data Leak,Insider Threat,IT,On Prem Cloud,8/18/2021 0:57,8/27/2021 2:17,8/27/2021 2:17,Martina,Good (4),Resolved,,Ticket Portal
T425,High,Texas,Cyber Security Breach,Malware Attack,Finance,On Prem Server,8/18/2021 14:49,8/18/2021 14:55,8/24/2021 22:47,Charles,Good (4),Resolved,,Ticket Portal
T426,Low,California,Security Gap,Unauthorized access,Legal,Vendor Cloud,8/18/2021 16:23,8/18/2021 16:23,8/18/2021 16:23,Veronica,Good (4),Recommended Threat Assessment,,Ticket Portal
T427,High,Utah,Data Privacy,HIPAA,IT,On Prem Cloud,8/18/2021 16:27,8/18/2021 16:28,8/19/2021 14:19,Aleena,Good (4),Resolved,,Personal Call
T428,Low,Florida,Data Privacy,HIPAA,Finance,On Prem Cloud,8/18/2021 17:38,8/18/2021 18:35,8/26/2021 17:26,Cinderalla,Excellent (5),Resolved,,Ticket Portal
T429,Low,Texas,Data Privacy,Privacy Assessment,IT,Vendor Cloud,8/18/2021 19:07,8/18/2021 21:23,8/31/2021 16:51,Veronica,Good (4),Resolved,,Personal Call
T43,Low,California,Cyber Consultation,New Application Launch,Finance,On Prem Server,1/31/2021 9:46,1/31/2021 9:47,1/31/2021 9:51,Allan,Unsatisfactory (2),Recommended Threat Assessment,Yes,Ticket Portal
T430,High,Missouri,Data Leak,Phishing,IT,Vendor Cloud,8/18/2021 20:51,8/19/2021 20:30,9/1/2021 19:57,Bob,Excellent (5),Resolved,,Personal Call
T431,Low,Maine,Security Gap,Unauthorized software,HR,On Prem Cloud,8/19/2021 0:50,8/19/2021 6:49,8/27/2021 11:43,Cinderalla,Excellent (5),Advised for a risk assessment,,Mail
T432,Low,Texas,Data Privacy,HIPAA,HR,On Prem Server,8/19/2021 20:34,8/19/2021 21:37,8/26/2021 15:43,Charles,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T433,Medium,Texas,Data Privacy,PCI-DSS,Marketing,On Prem Cloud,8/19/2021 22:53,8/19/2021 22:54,8/26/2021 20:56,Sean,Excellent (5),Advised for a risk assessment,,Ticket Portal
T434,High,Illinois,Data Privacy,HIPAA,IT,On Prem Cloud,8/20/2021 15:58,8/20/2021 16:09,8/23/2021 9:44,Charles,Excellent (5),Advised for a risk assessment,,Mail
T435,Low,Florida,Data Leak,Insider Threat,Legal,Vendor Cloud,8/21/2021 1:55,8/22/2021 23:24,8/27/2021 19:24,Sean,Excellent (5),Resolved,,Mail
T436,Low,North Carolina,Data Privacy,HIPAA,IT,On Prem Cloud,8/22/2021 22:30,8/22/2021 22:31,8/22/2021 22:34,Bob,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T437,High,Virginia,Cyber Security Breach,Trojan Attack,IT,On Prem Cloud,8/22/2021 22:42,4/25/2021 16:48,8/27/2021 14:10,Bob,Good (4),Resolved,,Ticket Portal
T438,Low,California,Data Privacy,GDPR,HR,On Prem Server,8/23/2021 9:27,8/23/2021 21:34,9/16/2021 14:36,Robbin,Excellent (5),Resolved,,Ticket Portal
T439,Low,Virginia,Data Leak,Insider Threat,IT,On Prem Server,8/24/2021 13:11,8/24/2021 17:47,12/24/2021 9:58,Veronica,Excellent (5),Resolved,,Ticket Portal
T44,Medium,Wisconsin,Data Privacy,Privacy Assessment,IT,On Prem Server,1/31/2021 9:46,1/31/2021 9:47,6/3/2021 19:56,Allan,Satisfactory (3),Resolved,,Ticket Portal
T440,High,Texas,Data Privacy,GDPR,Legal,On Prem Server,8/24/2021 17:23,8/24/2021 17:30,8/24/2021 19:17,Robbin,Excellent (5),Advised for a risk assessment,,Ticket Portal
T441,Low,New York,Data Privacy,PCI-DSS,HR,Vendor Cloud,8/24/2021 19:46,8/24/2021 20:02,8/26/2021 11:10,Charles,Good (4),Recommended Threat Assessment,,Ticket Portal
T442,Low,Oregon,Cyber Consultation,Secure Development,HR,On Prem Server,8/24/2021 23:44,8/25/2021 17:19,9/3/2021 18:28,Martina,Good (4),Resolved,,Ticket Portal
T443,Low,Washington,Cyber Consultation,New Application Launch,Marketing,On Prem Cloud,8/25/2021 14:27,8/25/2021 17:52,9/3/2021 18:30,Sylviya,Excellent (5),Resolved,,Ticket Portal
T444,High,Illinois,Cyber Security Breach,Firewall,Marketing,On Prem Cloud,8/25/2021 18:23,8/26/2021 10:15,9/3/2021 17:37,Sylviya,Good (4),Recommended Threat Assessment,,Ticket Portal
T445,Low,Washington,Cyber Consultation,New Application Launch,Finance,On Prem Server,8/25/2021 22:13,8/25/2021 23:40,8/26/2021 21:33,Martina,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T446,High,Florida,Cyber Consultation,BCP/DR,HR,On Prem Cloud,8/25/2021 23:35,8/26/2021 10:14,8/26/2021 10:14,Cinderalla,Satisfactory (3),Recommended Threat Assessment,,Ticket Portal
T447,High,Texas,Security Gap,Obsolete Software,IT,On Prem Server,8/26/2021 21:15,8/26/2021 21:32,9/2/2021 21:03,Martina,Good (4),Advised for a risk assessment,,Ticket Portal
T448,Low,Nevada,Cyber Consultation,Access Management,Finance,On Prem Server,8/27/2021 12:30,8/27/2021 12:34,9/6/2021 11:00,Charles,Excellent (5),Resolved,,Ticket Portal
T449,Medium,New York,Data Privacy,GDPR,HR,On Prem Server,8/27/2021 14:53,8/27/2021 15:02,9/1/2021 15:55,Charles,Excellent (5),Advised for a risk assessment,,Mail
T45,High,Connecticut,Cyber Consultation,Segregation of Duties,Finance,On Prem Server,1/31/2021 9:46,1/31/2021 9:47,1/31/2021 9:57,Allan,Excellent (5),Resolved,,Personal Call
T450,Medium,Massachusetts,Cyber Consultation,Database Security,IT,Vendor Cloud,8/27/2021 19:17,8/27/2021 19:30,12/21/2021 11:59,Veronica,Excellent (5),Advised for a risk assessment,,Ticket Portal
T451,High,Florida,Data Privacy,PCI-DSS,Marketing,Vendor Cloud,8/27/2021 19:48,8/27/2021 19:49,9/13/2021 9:41,Bob,Excellent (5),Resolved,,Mail
T452,Low,Oklahoma,Data Leak,Vishing,Marketing,Vendor Cloud,8/28/2021 1:07,8/30/2021 10:09,9/3/2021 19:46,Charles,Good (4),Resolved,,Mail
T453,Medium,California,Data Leak,Phishing,Manufacturing,On Prem Server,8/30/2021 20:45,8/30/2021 20:47,9/17/2021 11:25,Robbin,Satisfactory (3),Resolved,,Mail
T454,Low,California,Cyber Consultation,New Application Launch,Marketing,Vendor Cloud,8/30/2021 22:28,8/31/2021 10:13,9/2/2021 17:51,Charles,Unsatisfactory (2),Advised for a risk assessment,Yes,Mail
T455,High,Texas,Cyber Security Breach,Firewall,IT,On Prem Server,8/31/2021 17:36,8/31/2021 17:43,10/1/2021 18:03,Sylviya,Satisfactory (3),Recommended Threat Assessment,,Mail
T456,High,Utah,Cyber Security Breach,Trojan Attack,Marketing,On Prem Server,8/31/2021 19:13,9/1/2021 13:43,10/21/2021 15:31,Veronica,Satisfactory (3),Recommended Threat Assessment,,Mail
T457,High,Florida,Cyber Consultation,Database Security,Manufacturing,On Prem Cloud,9/1/2021 19:08,9/1/2021 19:12,9/8/2021 21:13,Martina,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T458,High,Florida,Cyber Security Breach,Trojan Attack,IT,On Prem Server,9/2/2021 11:45,9/2/2021 11:47,9/2/2021 11:48,Charles,Satisfactory (3),Resolved,,Mail
T459,High,Montana,Cyber Consultation,Third Party Engagement,IT,On Prem Server,9/2/2021 13:40,9/2/2021 13:45,9/2/2021 14:05,Cinderalla,Excellent (5),Resolved,,Personal Call
T46,Medium,Illinois,Cyber Consultation,Third Party Engagement,IT,On Prem Server,1/31/2021 10:04,1/31/2021 10:04,7/6/2021 9:35,Allan,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T460,Medium,Virginia,Security Gap,Password non-expiry,Finance,On Prem Cloud,9/3/2021 2:59,9/3/2021 11:40,9/21/2021 20:09,Robbin,Excellent (5),Resolved,,Ticket Portal
T461,Medium,Pennsylvania,Security Gap,Unauthorized access,IT,On Prem Cloud,9/6/2021 13:03,9/6/2021 17:01,9/13/2021 17:26,Bob,Excellent (5),Resolved,,Ticket Portal
T462,High,California,Data Leak,Insider Threat,Manufacturing,Vendor Cloud,9/8/2021 18:35,9/8/2021 21:35,9/22/2021 12:04,Michael,Excellent (5),Advised for a risk assessment,,Ticket Portal
T463,High,California,Cyber Consultation,Secure Development,HR,On Prem Cloud,9/8/2021 22:24,9/8/2021 22:35,9/15/2021 20:31,Charlotte,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T464,Low,Massachusetts,Data Privacy,Privacy Assessment,IT,On Prem Cloud,9/9/2021 14:59,9/10/2021 10:43,9/22/2021 10:25,Sylviya,Satisfactory (3),Resolved,,Ticket Portal
T465,High,Minnesota,Cyber Security Breach,Firewall,Manufacturing,Vendor Cloud,9/9/2021 21:24,9/9/2021 21:58,9/15/2021 21:31,Martina,Good (4),Advised for a risk assessment,,Ticket Portal
T466,High,Virginia,Data Privacy,GDPR,HR,On Prem Cloud,9/10/2021 2:36,9/10/2021 10:34,9/10/2021 10:34,Sylviya,Excellent (5),Resolved,,Ticket Portal
T467,Medium,Colorado,Cyber Consultation,Access Management,Marketing,On Prem Server,9/10/2021 20:58,9/10/2021 23:21,9/23/2021 18:57,Martina,Good (4),Advised for a risk assessment,,Ticket Portal
T468,Low,Arizona,Cyber Consultation,BCP/DR,IT,On Prem Cloud,9/14/2021 1:10,9/14/2021 18:10,9/21/2021 12:18,Charles,Satisfactory (3),Resolved,,Ticket Portal
T469,Low,Wisconsin,Data Leak,Phishing,HR,On Prem Server,9/14/2021 2:23,9/14/2021 20:37,9/20/2021 18:33,Martina,Excellent (5),Resolved,,Ticket Portal
T47,Low,California,Cyber Consultation,BCP/DR,Marketing,Vendor Cloud,1/31/2021 11:13,1/31/2021 11:13,1/31/2021 11:38,Allan,Satisfactory (3),Resolved,,Mail
T470,High,California,Cyber Consultation,Access Management,HR,On Prem Server,9/14/2021 12:29,9/14/2021 20:10,9/22/2021 19:21,Charles,Good (4),Advised for a risk assessment,,Ticket Portal
T471,High,Tennessee,Data Leak,Phishing,Finance,On Prem Cloud,9/14/2021 17:25,9/14/2021 18:31,10/7/2021 9:17,Cinderalla,Satisfactory (3),Recommended Threat Assessment,,Ticket Portal
T472,High,Virginia,Cyber Security Breach,Trojan Attack,Marketing,On Prem Server,9/15/2021 2:59,4/29/2021 15:28,2/8/2022 20:37,Veronica,Excellent (5),Advised for a risk assessment,,Ticket Portal
T473,High,California,Data Privacy,Privacy Assessment,Finance,On Prem Server,9/15/2021 11:16,9/15/2021 14:25,10/1/2021 10:15,Sylviya,Excellent (5),Resolved,,Ticket Portal
T474,High,California,Cyber Security Breach,Spyware,IT,On Prem Server,9/15/2021 13:21,9/15/2021 13:22,9/23/2021 10:28,Allan,Excellent (5),Resolved,,Mail
T475,High,Virginia,Data Leak,Insider Threat,Marketing,On Prem Cloud,9/15/2021 17:57,9/15/2021 18:20,9/29/2021 18:47,Martina,Excellent (5),Resolved,,Ticket Portal
